trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,take_profit_pct,stop_loss_pct,rsi_range,ema_filter,atr_filter,volume_filter,breakout_filter
150,29,121,19.33,6050.78,-7427.88,-1377.11,0.8146,0.8146028193652114,-1958.99,-9.18,2026-07-09T13:47:34.644824,SOLUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
150,29,121,19.33,6050.78,-7430.69,-1379.91,0.8143,0.8142956558779418,-1961.79,-9.2,2026-07-09T13:47:22.239066,SOLUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
88,16,72,18.18,3352.22,-4126.18,-773.96,0.8124,0.8124275888554195,-1065.61,-8.79,2026-07-09T13:42:21.080144,BTCUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
76,17,59,22.37,2678.91,-3312.14,-633.23,0.8088,0.8088156484216036,-824.85,-8.33,2026-07-09T13:43:59.230014,BTCUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
76,17,59,22.37,2678.91,-3312.14,-633.23,0.8088,0.8088156484216036,-824.85,-8.33,2026-07-09T13:44:11.667681,BTCUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
87,18,69,20.69,3149.31,-3912.8,-763.49,0.8049,0.8048738698759078,-927.2,-8.78,2026-07-09T13:43:10.354813,BTCUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
87,18,69,20.69,3149.31,-3912.8,-763.49,0.8049,0.8048738698759078,-927.2,-8.78,2026-07-09T13:43:22.444927,BTCUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
72,16,56,22.22,2516.47,-3150.71,-634.24,0.7987,0.798698396039042,-777.23,-8.81,2026-07-09T13:42:45.748278,BTCUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
83,15,68,18.07,3128.93,-3920.69,-791.76,0.7981,0.7980568613496846,-970.57,-9.54,2026-07-09T13:42:27.267800,BTCUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
90,16,74,17.78,3352.22,-4207.24,-855.02,0.7968,0.7967745967705229,-1146.67,-9.5,2026-07-09T13:42:33.370463,BTCUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
72,16,56,22.22,2516.47,-3165.21,-648.74,0.795,0.795039718984998,-791.73,-9.01,2026-07-09T13:42:58.130138,BTCUSDT,80,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
84,15,69,17.86,3128.93,-3958.37,-829.44,0.7905,0.7904596589000016,-1006.31,-9.87,2026-07-09T13:42:39.590722,BTCUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
79,16,63,20.25,2807.07,-3582.99,-775.93,0.7834,0.7834414021658198,-931.85,-9.82,2026-07-09T13:42:14.891771,BTCUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,False
89,18,71,20.22,3118.68,-4075.78,-957.1,0.7652,0.7651749546142077,-1147.45,-10.75,2026-07-09T13:41:56.856100,BTCUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
88,17,71,19.32,2950.18,-4034.74,-1084.56,0.7312,0.731195430051488,-1274.91,-12.32,2026-07-09T13:42:08.646023,BTCUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,False
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:41:59.754556,BTCUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:05.546948,BTCUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:11.821924,BTCUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:18.105445,BTCUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:24.217443,BTCUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:30.384122,BTCUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:36.507047,BTCUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:42.761594,BTCUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:48.947409,BTCUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:42:55.113648,BTCUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:01.261342,BTCUSDT,80,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:07.362387,BTCUSDT,80,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:13.444311,BTCUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:19.491805,BTCUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:25.528853,BTCUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:31.708049,BTCUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:38.063179,BTCUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:44.153545,BTCUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:50.186040,BTCUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:43:56.260357,BTCUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:02.563779,BTCUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:08.648305,BTCUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:14.786344,BTCUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:20.869699,BTCUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:27.279022,ETHUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:33.457479,ETHUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:39.562159,ETHUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:45.721664,ETHUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:51.836510,ETHUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:44:58.006997,ETHUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:04.156307,ETHUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:10.323748,ETHUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:16.397290,ETHUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:22.546602,ETHUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:29.302398,ETHUSDT,80,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:35.523930,ETHUSDT,80,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:41.622623,ETHUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:47.800150,ETHUSDT,85,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:45:55.368522,ETHUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:01.540505,ETHUSDT,85,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:07.862177,ETHUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:14.049128,ETHUSDT,85,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:20.114696,ETHUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:26.190404,ETHUSDT,85,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:32.317933,ETHUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:38.740046,ETHUSDT,85,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:45.628701,ETHUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:46:52.444249,ETHUSDT,85,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:00.164490,SOLUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:06.434286,SOLUSDT,80,0.05,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:12.912018,SOLUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:19.217687,SOLUSDT,80,0.05,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:25.363545,SOLUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:31.630945,SOLUSDT,80,0.06,-0.015,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:37.787417,SOLUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:44.367946,SOLUSDT,80,0.06,-0.015,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:50.843923,SOLUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:47:57.248317,SOLUSDT,80,0.06,-0.02,"(35, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:03.569993,SOLUSDT,80,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,False,True
0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2026-07-09T13:48:09.737747,SOLUSDT,80,0.06,-0.02,"(40, 70)",ema20_gt_ema50_and_ema50_gt_ema200,True,True,True
