trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,rsi_range,atr_mode,volume_multiplier,ema_confirm,exit_mode,take_profit_pct,stop_loss_pct
79,34,45,43.04,3784.65,-2640.0,1144.65,1.4336,1.433579878675813,-637.72,14.49,2026-07-09T14:54:10.892300,ETHUSDT,60,"(30, 60)",sma20,1.1,True,fixed,0.04,-0.02
79,34,45,43.04,3784.65,-2640.0,1144.65,1.4336,1.433579878675813,-637.72,14.49,2026-07-09T14:55:07.560427,ETHUSDT,60,"(35, 60)",sma20,1.1,True,fixed,0.04,-0.02
79,34,45,43.04,3784.65,-2640.0,1144.65,1.4336,1.433579878675813,-637.72,14.49,2026-07-09T14:58:15.383102,ETHUSDT,65,"(30, 60)",sma20,1.1,True,fixed,0.04,-0.02
79,34,45,43.04,3784.65,-2640.0,1144.65,1.4336,1.433579878675813,-637.72,14.49,2026-07-09T14:59:17.343010,ETHUSDT,65,"(35, 60)",sma20,1.1,True,fixed,0.04,-0.02
79,34,45,43.04,3784.65,-2640.0,1144.65,1.4336,1.433579878675813,-637.72,14.49,2026-07-09T15:02:19.777132,ETHUSDT,70,"(30, 60)",sma20,1.1,True,fixed,0.04,-0.02
79,34,45,43.04,3784.65,-2640.0,1144.65,1.4336,1.433579878675813,-637.72,14.49,2026-07-09T15:03:09.426598,ETHUSDT,70,"(35, 60)",sma20,1.1,True,fixed,0.04,-0.02
167,127,40,76.05,3163.22,-2220.67,942.55,1.4244,1.4244437583657124,-341.19,5.64,2026-07-09T15:27:47.546160,BNBUSDT,60,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
167,127,40,76.05,3163.22,-2220.67,942.55,1.4244,1.4244437583657124,-341.19,5.64,2026-07-09T15:30:53.629354,BNBUSDT,65,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
167,127,40,76.05,3163.22,-2220.67,942.55,1.4244,1.4244437583657124,-341.19,5.64,2026-07-09T15:33:55.634246,BNBUSDT,70,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
72,31,41,43.06,3415.6,-2398.71,1016.89,1.4239,1.4239315144709974,-598.07,14.12,2026-07-09T14:54:28.804663,ETHUSDT,60,"(30, 60)",sma20,1.2,True,fixed,0.04,-0.02
