trades,wins,losses,win_rate,gross_profit,gross_loss,net_profit,profit_factor,profit_factor_score,max_drawdown,expectancy,time,symbol,min_score,rsi_range,atr_mode,volume_multiplier,ema_confirm,exit_mode,take_profit_pct,stop_loss_pct
96,41,55,42.71,4576.14,-3179.78,1396.35,1.4391,1.4391348924262142,-557.54,14.55,2026-07-09T15:00:32.397531,ETHUSDT,65,"(35, 65)",sma20,1.15,True,fixed,0.04,-0.02
96,41,55,42.71,4576.14,-3179.78,1396.35,1.4391,1.4391348924262142,-557.54,14.55,2026-07-09T15:04:05.008315,ETHUSDT,70,"(35, 65)",sma20,1.15,True,fixed,0.04,-0.02
167,127,40,76.05,3163.22,-2220.67,942.55,1.4244,1.4244437583657124,-341.19,5.64,2026-07-09T15:27:47.546160,BNBUSDT,60,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
167,127,40,76.05,3163.22,-2220.67,942.55,1.4244,1.4244437583657124,-341.19,5.64,2026-07-09T15:30:53.629354,BNBUSDT,65,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
167,127,40,76.05,3163.22,-2220.67,942.55,1.4244,1.4244437583657124,-341.19,5.64,2026-07-09T15:33:55.634246,BNBUSDT,70,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
163,123,40,75.46,3087.14,-2218.87,868.27,1.3913,1.3913101517998174,-449.62,5.33,2026-07-09T15:27:57.448409,BNBUSDT,60,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
163,123,40,75.46,3087.14,-2218.87,868.27,1.3913,1.3913101517998174,-449.62,5.33,2026-07-09T15:31:01.294616,BNBUSDT,65,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
163,123,40,75.46,3087.14,-2218.87,868.27,1.3913,1.3913101517998174,-449.62,5.33,2026-07-09T15:34:03.501144,BNBUSDT,70,"(35, 65)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:25:47.992932,BNBUSDT,60,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:26:54.737212,BNBUSDT,60,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:29:30.505139,BNBUSDT,65,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:30:15.767455,BNBUSDT,65,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:32:30.717996,BNBUSDT,70,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
135,103,32,76.3,2486.39,-1791.53,694.86,1.3879,1.3878611066735564,-328.81,5.15,2026-07-09T15:33:17.503085,BNBUSDT,70,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:54:33.232653,ETHUSDT,60,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:55:32.634029,ETHUSDT,60,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:58:40.263288,ETHUSDT,65,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T14:59:43.293668,ETHUSDT,65,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T15:02:40.252206,ETHUSDT,70,"(30, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
112,83,29,74.11,2327.99,-1679.3,648.69,1.3863,1.3862853827873813,-407.55,5.79,2026-07-09T15:03:29.484719,ETHUSDT,70,"(35, 60)",sma20,1.2,True,ema20_exit,0.04,-0.02
158,115,43,72.78,3417.25,-2470.49,946.76,1.3832,1.38323010734286,-398.29,5.99,2026-07-09T14:56:14.786165,ETHUSDT,60,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
158,115,43,72.78,3417.25,-2470.49,946.76,1.3832,1.38323010734286,-398.29,5.99,2026-07-09T15:00:26.724151,ETHUSDT,65,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
158,115,43,72.78,3417.25,-2470.49,946.76,1.3832,1.38323010734286,-398.29,5.99,2026-07-09T15:04:01.232707,ETHUSDT,70,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
154,111,43,72.08,3392.62,-2469.42,923.2,1.3739,1.3738537343833337,-403.7,5.99,2026-07-09T14:56:25.587093,ETHUSDT,60,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
154,111,43,72.08,3392.62,-2469.42,923.2,1.3739,1.3738537343833337,-403.7,5.99,2026-07-09T15:00:38.004847,ETHUSDT,65,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
154,111,43,72.08,3392.62,-2469.42,923.2,1.3739,1.3738537343833337,-403.7,5.99,2026-07-09T15:04:09.258390,ETHUSDT,70,"(35, 65)",sma20,1.15,True,ema20_exit,0.04,-0.02
94,39,55,41.49,4323.88,-3176.23,1147.65,1.3613,1.3613231618655468,-561.65,12.21,2026-07-09T14:56:30.919437,ETHUSDT,60,"(35, 65)",sma20,1.2,True,fixed,0.04,-0.02
94,39,55,41.49,4323.88,-3176.23,1147.65,1.3613,1.3613231618655468,-561.65,12.21,2026-07-09T15:00:42.888976,ETHUSDT,65,"(35, 65)",sma20,1.2,True,fixed,0.04,-0.02
94,39,55,41.49,4323.88,-3176.23,1147.65,1.3613,1.3613231618655468,-561.65,12.21,2026-07-09T15:04:13.032504,ETHUSDT,70,"(35, 65)",sma20,1.2,True,fixed,0.04,-0.02
173,130,43,75.14,3143.07,-2389.35,753.72,1.3154,1.3154475049422363,-449.06,4.36,2026-07-09T15:27:37.893524,BNBUSDT,60,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
173,130,43,75.14,3143.07,-2389.35,753.72,1.3154,1.3154475049422363,-449.06,4.36,2026-07-09T15:30:46.126970,BNBUSDT,65,"(35, 65)",sma20,1.1,True,ema20_exit,0.04,-0.02
