entry_index,exit_index,holding_bars,entry_price,exit_price,profit,profit_pct,result,ai_score,rsi,atr_pct,volume_ratio,ema_gap_pct,loss_reason
30037,30767,730,647.92,633.21,-56.7586,-2.2703,LOSS,80.0,70.77680612173461,0.2439,4.4631,0.168,RSI_TOO_HIGH
30941,30969,28,646.89,672.92,100.5967,4.0239,WIN,80.0,66.83871695036584,0.217,2.1807,0.2639,WIN
30970,31002,32,670.69,702.9,120.0629,4.8025,WIN,80.0,71.338653671881,0.3609,1.663,1.2438,WIN
31003,31042,39,701.3,732.93,112.7549,4.5102,WIN,80.0,83.4937484679329,0.5074,2.1417,1.4629,WIN
31043,31099,56,732.5,711.26,-72.4915,-2.8997,LOSS,80.0,72.14156167348341,0.6593,1.7982,1.5829,RSI_TOO_HIGH
31744,32039,295,594.27,581.58,-53.3848,-2.1354,LOSS,80.0,65.97639376548298,0.4492,1.1024,0.9429,FALSE_SIGNAL
32118,32519,401,595.42,622.51,113.7432,4.5497,WIN,100.0,57.366059807045765,0.2846,1.1146,0.3907,WIN
32520,32623,103,620.76,605.36,-62.0207,-2.4808,LOSS,100.0,63.88254316293443,0.2928,4.3403,0.2148,FALSE_SIGNAL
33007,33281,274,583.64,571.92,-50.2022,-2.0081,LOSS,80.0,38.18214082534727,0.2162,1.8651,0.2372,FALSE_SIGNAL
33636,33714,78,568.17,556.72,-50.381,-2.0152,LOSS,100.0,56.597656259260745,0.2453,1.6241,0.1563,LOW_VOLATILITY
34096,34369,273,556.04,578.48,100.892,4.0357,WIN,80.0,67.53578409162935,0.3049,1.072,0.3353,WIN
34379,34717,338,573.54,561.55,-52.2631,-2.0905,LOSS,80.0,38.31855004564025,0.2186,1.0044,0.2027,LOW_VOLATILITY
