open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,EMA20,EMA50,EMA200,RSI14,MACD,MACD_SIGNAL,MACD_HIST,ATR14,BB_UPPER,BB_MIDDLE,BB_LOWER,VOLUME_MA20,AI_SCORE,Signal
2025-07-09 03:30:00,2.3062,2.3062,2.3007,2.3022,863488.9,2025-07-09 03:44:59.999,1988054.73914,5122,431511.8,993427.26577,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 03:45:00,2.3021,2.3047,2.3017,2.3033,679558.8,2025-07-09 03:59:59.999,1565112.68798,5375,443659.6,1021779.60074,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:00:00,2.3034,2.3063,2.3018,2.3018,502853.9,2025-07-09 04:14:59.999,1158741.13465,3587,284673.4,656019.73418,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:15:00,2.3018,2.3051,2.3018,2.3046,356071.4,2025-07-09 04:29:59.999,820204.83279,2912,182126.5,419518.96119,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:30:00,2.3045,2.3079,2.3045,2.3068,510938.8,2025-07-09 04:44:59.999,1178383.34356,3461,310393.2,715860.4665,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 04:45:00,2.3068,2.3244,2.3067,2.3215,1833448.8,2025-07-09 04:59:59.999,4248666.32719,9393,1062769.9,2461974.54971,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:00:00,2.3215,2.326,2.3171,2.3202,1931843.2,2025-07-09 05:14:59.999,4485795.35104,12971,1240980.6,2881699.10397,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:15:00,2.3202,2.3232,2.3167,2.3192,964779.3,2025-07-09 05:29:59.999,2237523.58113,7203,526944.8,1221983.49042,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:30:00,2.3191,2.3342,2.3177,2.3334,2776518.3,2025-07-09 05:44:59.999,6466294.04163,16655,1766329.9,4112950.15728,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 05:45:00,2.3333,2.3339,2.3234,2.3281,1429275.9,2025-07-09 05:59:59.999,3326728.7175,9986,581581.1,1353365.20894,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:00:00,2.3281,2.3333,2.3259,2.3332,762015.5,2025-07-09 06:14:59.999,1774302.20387,7637,383515.5,893079.65183,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:15:00,2.3333,2.3377,2.3266,2.3277,1504648.6,2025-07-09 06:29:59.999,3509356.29984,8687,691712.9,1613803.7998,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:30:00,2.3276,2.3288,2.3237,2.3248,706584.3,2025-07-09 06:44:59.999,1643826.54546,5492,298982.4,695627.69088,0,,,,,,,,0.0,,,,,10.0,SELL
2025-07-09 06:45:00,2.3248,2.3284,2.3231,2.3267,798512.6,2025-07-09 06:59:59.999,1857163.00172,6740,280391.1,652201.0076,0,,,,66.59954017616244,,,,0.0077642857142856,,,,,20.0,SELL
2025-07-09 07:00:00,2.3266,2.3286,2.3232,2.3232,923565.4,2025-07-09 07:14:59.999,2147219.86182,7850,434497.6,1010297.83534,0,,,,60.900940947383546,,,,0.0075954081632652,,,,,40.0,WAIT
2025-07-09 07:15:00,2.3232,2.328,2.3232,2.3261,507177.9,2025-07-09 07:29:59.999,1179702.6392,6074,252242.1,586656.66593,0,,,,63.67441518456165,,,,0.0073957361516034,,,,,40.0,WAIT
2025-07-09 07:30:00,2.3261,2.3278,2.3233,2.3235,992769.1,2025-07-09 07:44:59.999,2308083.04469,7609,557825.6,1296796.06627,0,,,,59.59297944764972,,,,0.0071888978550603,,,,,40.0,WAIT
2025-07-09 07:45:00,2.3235,2.3345,2.3234,2.3316,1620812.1,2025-07-09 07:59:59.999,3776305.73154,8499,1039992.2,2422509.75495,0,,,,66.74462797792172,,,,0.0074682622939845,,,,,20.0,SELL
2025-07-09 08:00:00,2.3315,2.3353,2.3309,2.335,753664.2,2025-07-09 08:14:59.999,1758074.20026,5454,465397.3,1085651.84946,0,,,,69.20818807574491,,,,0.0072491007015571,,,,,20.0,SELL
2025-07-09 08:15:00,2.3349,2.3389,2.3333,2.3363,1020821.4,2025-07-09 08:29:59.999,2384702.07591,9504,612428.4,1430682.92704,0,2.322899838640458,,,70.1196451499145,,,,0.007131307794303,2.3439555462258648,2.32146,2.2989644537741354,1071967.42,20.0,SELL
2025-07-09 08:30:00,2.3363,2.34,2.3346,2.3369,795186.5,2025-07-09 08:44:59.999,1859042.25314,8046,504860.2,1180254.42502,0,2.324233187341367,,,70.55289277797024,,,,0.0070076429518528,2.34481669974817,2.323195,2.3015733002518304,1068552.3,20.0,SELL
2025-07-09 08:45:00,2.3369,2.3378,2.3322,2.3358,1127291.2,2025-07-09 08:59:59.999,2632422.72389,9661,605307.3,1413687.40608,0,2.325334788546951,,,68.58938129038582,,,,0.0069070970267204,2.3450573516053854,2.32482,2.3045826483946144,1090938.9200000002,20.0,SELL
2025-07-09 09:00:00,2.3358,2.3387,2.3302,2.3321,846837.7,2025-07-09 09:14:59.999,1976040.79248,8358,306472.5,715109.75101,0,2.325979094399622,,,62.3079868852043,,,,0.0070208758105261,2.343798822605604,2.326335,2.308871177394396,1108138.11,40.0,WAIT
2025-07-09 09:15:00,2.3321,2.3363,2.3303,2.3353,568723.6,2025-07-09 09:29:59.999,1327479.19764,6877,282711.9,659848.19779,0,2.326866799694896,,,65.27031374008482,,,,0.0069479561097742,2.342606091747814,2.32787,2.3131339082521856,1118770.72,20.0,SELL
2025-07-09 09:30:00,2.3353,2.3378,2.3335,2.336,792656.9,2025-07-09 09:44:59.999,1851110.48599,5781,391276.0,913862.848,0,2.3277366282953817,,,65.90163432620196,,,,0.0067588163876475,2.3408650075856063,2.32933,2.317794992414393,1132856.625,20.0,SELL
2025-07-09 09:45:00,2.3361,2.3397,2.334,2.3372,771973.5,2025-07-09 09:59:59.999,1804531.74763,6395,422657.2,987942.21673,0,2.32863790179106,,,67.00880611811701,0.0066694670722089,,,0.0066831866456727,2.341548157918965,2.330115,2.318681842081035,1079782.86,44.99999999999999,WAIT
2025-07-09 10:00:00,2.3372,2.3494,2.3359,2.3464,2345111.7,2025-07-09 10:14:59.999,5497366.13138,14824,1401628.7,3286152.30667,0,2.330329530191911,,,73.98345481957975,0.0072755988045409,,,0.0071701018852675,2.3439641985389814,2.331425,2.3188858014610183,1100446.285,44.99999999999999,WAIT
2025-07-09 10:15:00,2.3465,2.347,2.342,2.3452,1225257.8,2025-07-09 10:29:59.999,2872111.3725,8527,547926.0,1284161.42459,0,2.3317457654117293,,,71.84978181896649,0.0075718490358038,,,0.0070150946077484,2.34531592927468,2.3327250000000004,2.3201340707253206,1113470.21,44.99999999999999,WAIT
2025-07-09 10:30:00,2.3452,2.349,2.3437,2.348,2527400.3,2025-07-09 10:44:59.999,5929966.7895,9307,1781797.2,4180559.7317,0,2.3332937877534694,,,73.75196165815049,0.0079410268633082,,,0.0068925878500521,2.347701890888892,2.333455,2.319208109111108,1101014.31,44.99999999999999,WAIT
2025-07-09 10:45:00,2.3479,2.3599,2.3475,2.3574,4587232.2,2025-07-09 10:59:59.999,10803407.89929,28496,2914770.7,6863526.6289,0,2.3355896174912343,,,78.90538593428765,0.0088896302681815,,,0.0072859744321912,2.3523362682570057,2.33492,2.317503731742994,1258912.125,44.99999999999999,WAIT
2025-07-09 11:00:00,2.3574,2.3657,2.353,2.3563,3707975.1,2025-07-09 11:14:59.999,8742299.71171,16343,2186046.6,5155624.77226,0,2.337562034873021,,,77.0001869482597,0.0094437824484305,,,0.0076726905441775,2.3557935065357394,2.336075,2.316356493464261,1406210.105,44.99999999999999,WAIT
2025-07-09 11:15:00,2.3563,2.3813,2.3559,2.3682,8325326.5,2025-07-09 11:29:59.999,19754097.63138,51468,4273028.1,10141208.39939,0,2.340479936313686,,,82.04965340488465,0.0107196135588996,,,0.0089389269338791,2.361865352932367,2.3381,2.3143346470676325,1747244.0,44.99999999999999,WAIT
