open_time,open,high,low,close,volume,close_time,quote_volume,trades,taker_buy_base,taker_buy_quote,ignore,EMA20,EMA50,EMA200,RSI14,MACD,MACD_SIGNAL,MACD_HIST,ATR14,BB_UPPER,BB_MIDDLE,BB_LOWER,VOLUME_MA20,AI_SCORE,Signal
2026-07-07 10:45:00,81.12,81.13,80.95,80.99,16855.543,2026-07-07 10:59:59.999,1366126.79353,8383,11280.649,914315.15101,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 11:00:00,80.99,81.0,80.76,80.87,20087.842,2026-07-07 11:14:59.999,1624949.02065,8635,8364.373,676649.5253,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 11:15:00,80.86,81.1,80.84,80.99,10247.102,2026-07-07 11:29:59.999,829647.39402,5216,5796.713,469287.40377,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 11:30:00,80.98,81.16,80.86,81.15,9187.611,2026-07-07 11:44:59.999,744158.05755,4252,4273.805,346257.4545,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 11:45:00,81.16,81.4,81.16,81.32,15538.217,2026-07-07 11:59:59.999,1262978.14686,5622,8417.74,684227.57404,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 12:00:00,81.32,81.93,81.3,81.83,40644.885,2026-07-07 12:14:59.999,3318227.21432,14337,19315.573,1577079.7013,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 12:15:00,81.84,82.0,81.73,81.89,25792.19,2026-07-07 12:29:59.999,2111511.60384,10015,10248.731,838963.33544,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 12:30:00,81.9,81.92,81.59,81.71,25953.868,2026-07-07 12:44:59.999,2120973.98239,12985,9108.691,744191.24988,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 12:45:00,81.7,81.7,81.44,81.45,16943.574,2026-07-07 12:59:59.999,1381344.18197,7877,5870.881,478591.60152,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 13:00:00,81.45,81.62,81.18,81.29,19224.716,2026-07-07 13:14:59.999,1564731.89248,10061,10434.055,849216.69143,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 13:15:00,81.3,81.37,80.9,80.95,22778.373,2026-07-07 13:29:59.999,1847170.19949,12137,11902.69,965162.30205,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 13:30:00,80.95,81.17,80.66,80.99,45175.002,2026-07-07 13:44:59.999,3655162.29825,34254,29070.727,2352194.13193,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 13:45:00,80.99,81.39,80.71,80.84,37005.473,2026-07-07 13:59:59.999,3000044.01634,27944,23228.922,1883049.29812,0,,,,,,,,0.0,,,,,10.0,SELL
2026-07-07 14:00:00,80.85,81.21,80.58,80.85,27653.128,2026-07-07 14:14:59.999,2236844.01419,22124,13824.025,1118265.23323,0,,,,39.81894411337896,,,,0.3899999999999985,,,,,20.0,SELL
2026-07-07 14:15:00,80.86,81.17,80.74,81.16,19902.725,2026-07-07 14:29:59.999,1611530.90332,18850,12737.93,1031458.22701,0,,,,51.06050293849103,,,,0.3928571428571419,,,,,40.0,WAIT
2026-07-07 14:30:00,81.17,81.35,80.51,80.9,45671.289,2026-07-07 14:44:59.999,3690705.72295,23552,17024.374,1376355.81636,0,,,,43.68930304919788,,,,0.4247959183673453,,,,,20.0,SELL
2026-07-07 14:45:00,80.9,81.92,80.89,81.81,38526.91,2026-07-07 14:59:59.999,3140991.30558,25470,20844.962,1699382.16094,0,,,,63.532505224882975,,,,0.4680247813411064,,,,,40.0,WAIT
2026-07-07 15:00:00,81.81,81.89,81.5,81.56,26147.533,2026-07-07 15:14:59.999,2136287.06526,16952,11769.277,961693.52336,0,,,,57.53417908742586,,,,0.4624515826738845,,,,,40.0,WAIT
2026-07-07 15:15:00,81.56,82.11,81.53,81.98,39485.71,2026-07-07 15:29:59.999,3233562.6165,16232,24094.109,1974021.57787,0,,,,63.72971681469452,,,,0.4708478981971783,,,,,40.0,WAIT
2026-07-07 15:30:00,81.98,82.32,81.87,81.99,33477.128,2026-07-07 15:44:59.999,2748528.46103,19526,12744.063,1046331.26744,0,81.3578764069716,,,63.864894250810735,,,,0.4693587626116648,82.13651588510034,81.326,80.51548411489965,26814.94095,40.0,WAIT
2026-07-07 15:45:00,82.0,82.36,82.0,82.11,25761.137,2026-07-07 15:59:59.999,2117259.3315,15482,11868.931,975511.67255,0,81.42950722535525,,,65.5253198981294,,,,0.4622617081394033,82.24498551552153,81.38199999999999,80.51901448447845,27260.22065,20.0,SELL
2026-07-07 16:00:00,82.11,82.16,81.82,81.96,16005.568,2026-07-07 16:14:59.999,1312271.03871,11452,6953.739,570164.75703,0,81.48003034675,,,61.70826724255991,,,,0.4535287289865891,82.30093681087746,81.4365,80.57206318912253,27056.106950000005,40.0,WAIT
2026-07-07 16:15:00,81.96,82.46,81.84,82.26,39821.344,2026-07-07 16:29:59.999,3274313.06444,16653,21773.979,1790944.11294,0,81.55431317086905,,,65.97706391593496,,,,0.4654195340589749,82.4093294232565,81.5,80.5906705767435,28534.81905,20.0,SELL
2026-07-07 16:30:00,82.25,82.34,82.06,82.25,13620.865,2026-07-07 16:44:59.999,1119629.18416,8758,7396.009,608075.94578,0,81.6205690593577,,,65.7140841476357,,,,0.4521752816261911,82.50514735699258,81.55499999999999,80.6048526430074,28756.481749999995,20.0,SELL
2026-07-07 16:45:00,82.24,82.57,82.16,82.22,12448.475,2026-07-07 16:59:59.999,1025234.73903,10881,7276.533,599360.28283,0,81.67765772037126,,,64.87860275903924,,,,0.4491627615100343,82.5859411747158,81.6,80.61405882528419,28601.99465,40.0,WAIT
2026-07-07 17:00:00,82.21,82.47,82.09,82.38,8401.163,2026-07-07 17:14:59.999,691346.04794,8231,3951.162,325139.89266,0,81.74454746128828,,,67.26874829276898,0.3071093673315346,,,0.4442225642593173,82.66680505627558,81.6275,80.58819494372442,26989.80855,44.99999999999999,WAIT
2026-07-07 17:15:00,82.38,82.66,82.13,82.58,24281.856,2026-07-07 17:29:59.999,1998750.05317,11339,12896.283,1061865.16092,0,81.82411436973702,,,70.01564290850855,0.3347986342733549,,,0.4503495239550804,82.77692780035301,81.662,80.547072199647,26914.29185,44.99999999999999,WAIT
2026-07-07 17:30:00,82.57,82.79,82.42,82.78,16349.55,2026-07-07 17:44:59.999,1350426.81933,8977,10033.171,828993.2803,0,81.91515109642873,,,72.50095891796396,0.3686315512873506,,,0.4446102722440036,82.93252054214379,81.71549999999999,80.49847945785619,26434.07595,44.99999999999999,WAIT
2026-07-07 17:45:00,82.79,82.79,82.53,82.72,11778.422,2026-07-07 17:59:59.999,973823.90327,7514,5507.1,455325.268,0,81.99180337295932,,,70.61009781839991,0.3861515683064311,,,0.4314238242265751,83.0645800247359,81.779,80.49341997526409,26175.81835,44.99999999999999,WAIT
2026-07-07 18:00:00,82.73,82.73,82.28,82.3,13999.773,2026-07-07 18:14:59.999,1153685.55664,7882,5937.49,489304.46806,0,82.02115543267749,,,59.00860338878508,0.3619732161896678,,,0.4327506939246771,83.11362577265623,81.8295,80.54537422734376,25914.5712,65.0,WAIT
2026-07-07 18:15:00,82.3,82.39,82.0,82.05,17309.05,2026-07-07 18:29:59.999,1423125.12657,6849,7581.236,623410.8166,0,82.02390253432725,,,53.38585409679819,0.3189619919820785,,,0.4296970729300574,83.10593317459448,81.88449999999999,80.6630668254055,25641.10505,65.0,WAIT
2026-07-07 18:30:00,82.04,82.25,81.96,82.25,16334.765,2026-07-07 18:44:59.999,1340959.79712,6989,8176.467,671310.78083,0,82.04543562629608,,,56.922251405267176,0.2975832608566833,,,0.4197187105779109,83.10625579825947,81.94749999999999,80.78874420174051,24199.0932,65.0,WAIT
2026-07-07 18:45:00,82.25,82.31,81.24,81.3,20988.058,2026-07-07 18:59:59.999,1714282.29098,15188,7740.719,632670.36071,0,81.97444175712504,,,41.00789473439394,0.2016588047230385,,,0.4661673741080606,83.0563816694281,81.9705,80.8846183305719,23398.22245,44.99999999999999,WAIT
2026-07-07 19:00:00,81.3,81.43,80.92,81.07,32407.081,2026-07-07 19:14:59.999,2629334.32429,15839,15822.994,1284077.46857,0,81.88830444692266,,,38.221733099696536,0.105858631914927,0.2640429598569317,-0.1581843279420047,0.4692982759574852,83.0254018153064,81.98150000000001,80.93759818469363,23635.9201,44.99999999999999,WAIT
2026-07-07 19:15:00,81.07,81.2,80.78,81.11,28341.633,2026-07-07 19:29:59.999,2295534.3234,13984,17453.933,1413810.58772,0,81.81418021388241,,,38.99798001717304,0.0327860334821963,0.2177915745819847,-0.1850055410997883,0.4657769705319507,83.03096768011187,81.979,80.92703231988813,24057.8655,44.99999999999999,WAIT
2026-07-07 19:30:00,81.11,81.49,81.11,81.43,19747.728,2026-07-07 19:44:59.999,1606321.04652,8967,12667.302,1030360.77489,0,81.77759162208409,,,44.95658021378194,0.0006888576903634,0.1743710312036604,-0.173682173513297,0.4596500440653824,82.97051761641949,82.0055,81.04048238358051,22761.68745,44.99999999999999,WAIT
2026-07-07 19:45:00,81.43,81.56,81.27,81.37,20592.691,2026-07-07 19:59:59.999,1676153.50066,7976,12145.126,988565.56607,0,81.73877337236179,,,44.08702575407189,-0.029252677276915,0.1336462895075453,-0.1628989667844604,0.4475321837749985,82.98472474999372,81.9835,80.9822752500063,21864.9765,20.0,SELL
2026-07-07 20:00:00,81.38,81.49,81.16,81.45,14222.357,2026-07-07 20:14:59.999,1156750.61767,6866,6613.343,537849.16131,0,81.71127114642258,,,45.59794835494656,-0.0459960146184812,0.09771782868234,-0.1437138433008213,0.4391370277910699,82.98962443624102,81.978,80.96637556375897,21268.7177,40.0,WAIT
2026-07-07 20:15:00,81.45,81.48,81.22,81.34,10659.783,2026-07-07 20:29:59.999,866869.87799,4472,4647.006,377820.04347,0,81.67591198962043,,,43.843571345851885,-0.0673647716283198,0.064701308620208,-0.1320660802485279,0.4263415258059938,82.99514060068228,81.946,80.89685939931772,19827.42135,20.0,SELL
2026-07-07 20:30:00,81.34,81.37,81.13,81.16,8110.225,2026-07-07 20:44:59.999,658856.54594,3384,3273.718,265978.98599,0,81.62677751441849,,,41.0596475365988,-0.0976979599223426,0.0322214549116979,-0.1299194148340405,0.413031416819852,83.0076677116377,81.9045,80.8013322883623,18559.0762,20.0,SELL
2026-07-07 20:45:00,81.15,81.17,81.01,81.17,4663.545,2026-07-07 20:59:59.999,378120.85314,3312,3182.311,258031.44377,0,81.5832748939977,,,41.28271159115694,-0.1195521905239473,0.0018667258245688,-0.1214189163485162,0.3949577441898624,83.00100120244798,81.8575,80.71399879755202,17504.1966,20.0,SELL
2026-07-07 21:00:00,81.17,81.42,81.17,81.31,9308.692,2026-07-07 21:14:59.999,756840.52474,4751,5550.553,451272.0005,0,81.55724871361696,,,44.45225024624309,-0.1241439416730827,-0.0233354076749614,-0.1008085339981212,0.3846036196048722,82.99171333240002,81.825,80.65828666759998,17169.3528,20.0,SELL
2026-07-07 21:15:00,81.3,81.31,80.67,80.9,23165.401,2026-07-07 21:29:59.999,1873570.06646,8755,7759.409,627591.49712,0,81.49465359803439,,,37.985470419777705,-0.1590332744346625,-0.0504749810269016,-0.1085582934077608,0.4028462182045242,82.97190905009387,81.757,80.54209094990614,16336.55565,20.0,SELL
2026-07-07 21:30:00,80.89,80.89,80.57,80.67,31793.839,2026-07-07 21:44:59.999,2565076.81261,7003,12463.69,1005684.63208,0,81.41611516012635,,,34.916753395964705,-0.2029034550947841,-0.0809606758404781,-0.1219427792543059,0.3976429169042019,82.95813436794737,81.67800000000001,80.39786563205266,17245.20435,20.0,SELL
2026-07-07 21:45:00,80.67,80.91,80.61,80.84,12862.513,2026-07-07 21:59:59.999,1039517.74782,5313,6779.738,547865.23946,0,81.36124704963812,,,38.84906737443984,-0.2214011356108756,-0.1090487677945576,-0.1123523678163179,0.3906684228396158,82.91337571274538,81.60900000000001,80.30462428725464,17265.90625,20.0,SELL
2026-07-07 22:00:00,80.83,80.86,80.34,80.83,41429.538,2026-07-07 22:14:59.999,3337969.59062,13778,16481.003,1328238.08019,0,81.31065209252972,,,38.70093968447675,-0.2341682512789162,-0.1340726644914294,-0.1000955867874868,0.3999063926367858,82.82759066040921,81.5315,80.23540933959077,18917.325,20.0,SELL
2026-07-07 22:15:00,80.84,81.02,80.73,80.82,12001.98,2026-07-07 22:29:59.999,970469.71493,4824,7803.235,631028.64381,0,81.2639233218126,,,38.54267566315679,-0.2423001139672322,-0.1557181543865899,-0.0865819595806423,0.392055936019872,82.6805331442609,81.4435,80.2064668557391,18303.3312,20.0,SELL
2026-07-07 22:30:00,80.82,81.1,80.77,81.02,9268.329,2026-07-07 22:44:59.999,750596.95654,4026,5737.81,464612.03611,0,81.24069252925902,,,43.51762134561646,-0.2299555606436172,-0.1705656356379954,-0.0593899250056217,0.3876233691613095,82.44081055463403,81.3555,80.27018944536599,17949.27015,20.0,SELL
2026-07-07 22:45:00,81.02,81.02,80.82,80.88,8334.614,2026-07-07 22:59:59.999,674308.94491,2990,4050.96,327719.36667,0,81.20634085980578,,,41.01475564490191,-0.228831417035181,-0.1822187919174325,-0.0466126251177484,0.3742216999355019,82.16732022548734,81.2635,80.35967977451264,17777.079749999997,20.0,SELL
2026-07-07 23:00:00,80.87,81.06,80.85,80.99,10878.795,2026-07-07 23:14:59.999,880919.97939,4958,5491.742,444681.66296,0,81.18573696839572,81.33609374492778,,43.752091638293656,-0.2165679835295861,-0.1890886302398632,-0.0274793532897228,0.362491578511538,81.97248305339758,81.19800000000001,80.42351694660243,17621.03085,20.0,SELL
