symbol,open_time,balance,equity,drawdown
BNBUSDT,2025-07-11T05:15:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T05:30:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T05:45:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T06:00:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T06:15:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T06:30:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T06:45:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T07:00:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T07:15:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T07:30:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T07:45:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T08:00:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T08:15:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T08:30:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T08:45:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T09:00:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T09:15:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T09:30:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T09:45:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T10:00:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T10:15:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T10:30:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T10:45:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T11:00:00+00:00,5000.0,5000.0,0.0
BNBUSDT,2025-07-11T11:15:00+00:00,5000.0,5000.0,0.0
